C,Bb,Eb,F,G
G7(b13)(b9),F7(b13)(b9),Bb7(b13)(b9),C7(b13)(b9),D7(b13)(b9)
G7(b9)(b5),F7(b9)(b5),Bb7(b9)(b5),C7(b9)(b5),D7(b9)(b5)
Ab-(add2)/Eb,Gb-(add2)/Db,Cb-(add2)/Gb,Db-(add2)/Ab,Eb-(add2)/Bb
Ab-/Eb,Gb-/Db,Cb-/Gb,Db-/Ab,Eb-/Bb
BbMaj7,AbMaj7,DbMaj7,EbMaj7,FMaj7
BbMaj7(#11),AbMaj7(#11),DbMaj7(#11),EbMaj7(#11),FMaj7(#11)
BbMaj9,AbMaj9,DbMaj9,EbMaj9,FMaj9
BbMaj9(#11),AbMaj9(#11),DbMaj9(#11),EbMaj9(#11),FMaj9(#11)
C13,Bb13,Eb13,F13,G13
C13(9),Bb13(9),Eb13(9),F13(9),G13(9)
C7,Bb7,Eb7,F7,G7
BbMaj13(#11)(9),AbMaj13(#11)(9),DbMaj13(#11)(9),EbMaj13(#11)(9),FMaj13(#11)(9)
C9,Bb9,Eb9,F9,G9
Eb+,Db+,Gb+,Ab+,Bb+
Eb+(add2),Db+(add2),Gb+(add2),Ab+(add2),Bb+(add2)
Ab-/Bb,Gb-/Ab,Cb-/Db,Db-/Eb,Eb-/F
C7/E,Bb7/D,Eb7/G,F7/A,G7/B
E-11(b5),D-11(b5),G-11(b5),A-11(b5),B-11(b5)
G-13(11),F-13(11),Bb-13(11),C-13(11),D-13(11)
Eb(addb6)/Bb,Db(addb6)/Ab,Gb(addb6)/Db,Ab(addb6)/Eb,Bb(addb6)/F
Edim,Ddim,Gdim,Adim,Bdim
Ehdim7,Dhdim7,Ghdim7,Ahdim7,Bhdim7
G-,F-,Bb-,C-,D-
G-(add2),F-(add2),Bb-(add2),C-(add2),D-(add2)
G-11,F-11,Bb-11,C-11,D-11
G-11(9),F-11(9),Bb-11(9),C-11(9),D-11(9)
G-13(11)(9),F-13(11)(9),Bb-13(11)(9),C-13(11)(9),D-13(11)(9)
G-6,F-6,Bb-6,C-6,D-6
G-6(9),F-6(9),Bb-6(9),C-6(9),D-6(9)
G-7,F-7,Bb-7,C-7,D-7
G-9,F-9,Bb-9,C-9,D-9
A,G,C,D,E
A(addb6),G(addb6),C(addb6),D(addb6),E(addb6)
A+,G+,C+,D+,E+
A7,G7,C7,D7,E7
A7(b13),G7(b13),C7(b13),D7(b13),E7(b13)
Bb/C,Ab/Bb,Db/Eb,Eb/F,F/G
C13sus,Bb13sus,Eb13sus,F13sus,G13sus
C13sus(9),Bb13sus(9),Eb13sus(9),F13sus(9),G13sus(9)
C13sus(9)(add3),Bb13sus(9)(add3),Eb13sus(9)(add3),F13sus(9)(add3),G13sus(9)(add3)
C13sus(add3),Bb13sus(add3),Eb13sus(add3),F13sus(add3),G13sus(add3)
C7/G,Bb7/F,Eb7/Bb,F7/C,G7/D
C7sus,Bb7sus,Eb7sus,F7sus,G7sus
C9sus,Bb9sus,Eb9sus,F9sus,G9sus
Edim/G,Ddim/F,Gdim/Bb,Adim/C,Bdim/D
C7sus(add3),Bb7sus(add3),Eb7sus(add3),F7sus(add3),G7sus(add3)
G-(add2)/Bb,F-(add2)/Ab,Bb-(add2)/Db,C-(add2)/Eb,D-(add2)/F
G-/Bb,F-/Ab,Bb-/Db,C-/Eb,D-/F
A/C#,G/B,C/E,D/F#,E/G#
A7/C#,G7/B,C7/E,D7/F#,E7/G#
BbMaj7(#11)(#9),AbMaj7(#11)(#9),DbMaj7(#11)(#9),EbMaj7(#11)(#9),FMaj7(#11)(#9)
C/Bb,Bb/Ab,Eb/Db,F/Eb,G/F
C#dim,Bdim,Edim,F#dim,G#dim
C#dim7,Bdim7,Edim7,F#dim7,G#dim7
C#dim7(b13),Bdim7(b13),Edim7(b13),F#dim7(b13),G#dim7(b13)
C7/Bb,Bb7/Ab,Eb7/Db,F7/Eb,G7/F
Edim/Bb,Ddim/Ab,Gdim/Db,Adim/Eb,Bdim/F
G-(add2)/D,F-(add2)/C,Bb-(add2)/F,C-(add2)/G,D-(add2)/A
G-/D,F-/C,Bb-/F,C-/G,D-/A
A/E,G/D,C/G,D/A,E/B
A7(b9),G7(b9),C7(b9),D7(b9),E7(b9)
A7/E,G7/D,C7/G,D7/A,E7/B
A7sus,G7sus,C7sus,D7sus,E7sus
